"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 07:35:14 GMT 2021","Wed Aug 11 07:35:18 GMT 2021","4306","test","test_conduit","TestConduitapp","","","test_login",""
"passed","Wed Aug 11 07:35:59 GMT 2021","Wed Aug 11 07:36:28 GMT 2021","28980","test","test_conduit","TestConduitapp","","","test_deletearticle",""
"passed","Wed Aug 11 07:36:29 GMT 2021","Wed Aug 11 07:36:46 GMT 2021","16476","test","test_conduit","TestConduitapp","","","test_modifydata",""
"passed","Wed Aug 11 07:36:49 GMT 2021","Wed Aug 11 07:38:23 GMT 2021","93706","test","test_conduit","TestConduitapp","","","test_datafromsource",""
"passed","Wed Aug 11 07:35:20 GMT 2021","Wed Aug 11 07:35:24 GMT 2021","4350","test","test_conduit","TestConduitapp","","","test_logout",""
"passed","Wed Aug 11 07:38:25 GMT 2021","Wed Aug 11 07:38:25 GMT 2021","137","test","test_conduit","TestConduitapp","","","test_savedata",""
"passed","Wed Aug 11 07:35:45 GMT 2021","Wed Aug 11 07:35:57 GMT 2021","12584","test","test_conduit","TestConduitapp","","","test_createnewarticle",""
"failed","Wed Aug 11 07:35:32 GMT 2021","Wed Aug 11 07:35:44 GMT 2021","12440","test","test_conduit","TestConduitapp","","","test_multiplepages",""
"passed","Wed Aug 11 07:35:26 GMT 2021","Wed Aug 11 07:35:30 GMT 2021","4052","test","test_conduit","TestConduitapp","","","test_cookies",""
"passed","Wed Aug 11 07:36:48 GMT 2021","Wed Aug 11 07:36:48 GMT 2021","136","test","test_conduit","TestConduitapp","","","test_listdata",""
"passed","Wed Aug 11 07:35:04 GMT 2021","Wed Aug 11 07:35:13 GMT 2021","8510","test","test_conduit","TestConduitapp","","","test_registration",""
